Codigo_org;idOrg;Codigo_padre;Region;Municipalidad;url_sai;Ingresa;obligadorecibir_sai;tiene_ta
AZ001;1074;AJ000;Region Metropolitana de Santiago;SANTIAGO;http://www.cnachile.cl/sgs121/index.php;INGRESA;SI;SI
AH009;1005;AH000;Region Metropolitana de Santiago;SANTIAGO;http://;INGRESA;SI;SI
AJ025;330304;AJ000;Region Metropolitana de Santiago;SANTIAGO;https://www.ayudamineduc.cl/ley-transparencia;INGRESA;SI;SI
MA007;329501;ASOC;Region Metropolitana de Santiago;SANTIAGO;https://www.achm.cl/index.php/transparencia/itemlist/category/72-derecho-de-acceso-a-la-info;INGRESA;SI;SI
AK001;855;AK000;Region Metropolitana de Santiago;SANTIAGO;http://transparencia.minjusticia.gob.cl/;INGRESA;SI;SI
PP051;329151;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
AR002;1058;AR000;Region Metropolitana de Santiago;SANTIAGO;http://cnr.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AJ021;330150;AJ000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AJ001;INGRESA;SI;SI
AD010;979;AB000;Region Metropolitana de Santiago;SANTIAGO;http://investigaciones.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AJ014;58900;AJ000;Region Metropolitana de Santiago;SANTIAGO;https://www.ayudamineduc.cl/ley-transparencia;INGRESA;SI;SI
AJ010;1018;AJ000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1018;INGRESA;SI;SI
AH005;1001;AH000;Region Metropolitana de Santiago;SANTIAGO;http://www.fne.gob.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AI009;329100;AI000;Region Metropolitana de Santiago;SANTIAGO;http://sgs.ministeriodesarrollosocial.gob.cl/;INGRESA;SI;SI
AU002;960;AU000;Region Metropolitana de Santiago;SANTIAGO;http://www.minenergia.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
BD001;330350;BD000;Region Metropolitana de Santiago;SANTIAGO;http://www.minciencia.gob.cl;INGRESA;SI;SI
AE001;839;AE000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AE001;INGRESA;SI;SI
AK002;856;AK000;Region Metropolitana de Santiago;SANTIAGO;http://www.registrocivil.cl/transparencia/transparencia.html;INGRESA;SI;SI
AP007;946;AP000;Region Metropolitana de Santiago;SANTIAGO;http://www.minvu.cl/transparencia/paginas/solicitud_informacion.html;INGRESA;SI;SI
PP025;326601;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
AM010;1043;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AL006;1031;AL000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1031;INGRESA;SI;SI
UN011;1088;UN000;Region Metropolitana de Santiago;SANTIAGO;http://www.umce.cl/tpsolicitudinformacion;INGRESA;SI;NO
AW002;1069;AW000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=AW002;INGRESA;SI;SI
AM001;1036;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AU004;1002;AU000;Region Metropolitana de Santiago;SANTIAGO;http://sec.transparencia.cl/tramites/disponibles/;INGRESA;SI;SI
AD006;835;AD000;Region Metropolitana de Santiago;SANTIAGO;http://ejercito.transparencia.cl;INGRESA;SI;SI
AD021;834;AD000;Region Metropolitana de Santiago;SANTIAGO;http://ssdefensa.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AB081;964;AB000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=AB081;INGRESA;SI;SI
AO045;56256;AO000;Region Metropolitana de Santiago;SANTIAGO;http://www.portaltransparencia.cl/PortalPdT/web/guest/home;INGRESA;SI;SI
AD022;55951;AD000;Region Metropolitana de Santiago;SANTIAGO;http://www.ssffaa.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AJ001;1012;AJ000;Region Metropolitana de Santiago;SANTIAGO;http://www.mineduc.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AR003;1059;AR000;Region Metropolitana de Santiago;SANTIAGO;http://sgs.odepa.cl/http://conaf.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AB099;331400;AB000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AB001;INGRESA;SI;SI
AW004;1071;AW000;Region Metropolitana de Santiago;SANTIAGO;http://www.sea.gob.cl/transparencia/;INGRESA;SI;SI
AM007;1040;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AN001;1046;AN000;Region Metropolitana de Santiago;SANTIAGO;http://www.subtrans.gob.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AO001;1049;AO000;Region Metropolitana de Santiago;SANTIAGO;http://transparencia.redsalud.gov.cl/transparencia/public/ssp/solicitud_informacion.html;INGRESA;SI;SI
CT001;460;CT000;Region Metropolitana de Santiago;SANTIAGO;http://;INGRESA;SI;SI
PP060;331250;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
AE003;989;AE000;Region Metropolitana de Santiago;SANTIAGO;http://www.tesoreria.cl/FormularioWeb/Menu/MenuController.jpf;INGRESA;SI;SI
AM006;1039;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AR006;1062;AR000;Region Metropolitana de Santiago;SANTIAGO;http://sag.transparencia.cl/;INGRESA;SI;SI
PP053;329750;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
NR001;56450;NRJUD;Region Metropolitana de Santiago;SANTIAGO;http://www.poderjudicial.cl/modulos/ATUsuarios/ATU_PresidenteResponde.php?opc_menu=5&opc_item=1;INGRESA;SI;NO
PP009;326700;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
EP030;326852;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
AR010;330302;AR000;Region Metropolitana de Santiago;SANTIAGO;https://www.ciren.cl/contactanos/;NO INGRESA;SI;SI
EP028;326850;EP000;Region Metropolitana de Santiago;SANTIAGO;http://www.cmoneda.cl/gobierno-transparente/;NO INGRESA;NO;NO
EP029;326851;EP000;Region Metropolitana de Santiago;SANTIAGO;https://www.cotrisa.cl/transparente/normativo.php;INGRESA;SI;SI
AD012;838;AD000;Region Metropolitana de Santiago;SANTIAGO;http://;INGRESA;SI;SI
AB005;759;AB000;Region Metropolitana de Santiago;SANTIAGO;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;NO INGRESA;SI;NO
PP033;328253;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
EP022;1100;EP000;Region Metropolitana de Santiago;SANTIAGO;http://www.famae.cl/gobierno_transparente/contactos/;NO INGRESA;SI;NO
AE013;58350;AE000;Region Metropolitana de Santiago;SANTIAGO;http://;INGRESA;SI;SI
AH004;1000;AH000;Region Metropolitana de Santiago;SANTIAGO;http://archives.cplt.cl/transparencia_activa/paginacontingenciaportal/or/portalconti_corfo_cmf.html;INGRESA;SI;SI
EP032;329250;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;SI;NO
PP040;328850;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
PP039;327200;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
PP027;326702;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
PP047;328600;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
AC002;974;AC000;Region Metropolitana de Santiago;SANTIAGO;http://direcon.transparencia.cl/tramites/disponibles;NO INGRESA;SI;SI
AR009;330301;AR000;Region Metropolitana de Santiago;SANTIAGO;https://www.fucoa.cl/contacto/;NO INGRESA;SI;SI
PP022;326600;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
UN010;1083;UN000;Region Metropolitana de Santiago;SANTIAGO;http://www.uchile.cl/portal/presentacion/informacion-publica/103250/seip;NO INGRESA;SI;NO
NR002;56500;NRCGR;Region Metropolitana de Santiago;SANTIAGO;https://www.contraloria.cl/web/cgr/solicitar-informacion;NO INGRESA;SI;NO
AD015;982;AD000;Region Metropolitana de Santiago;SANTIAGO;https://www.capredena.cl/CRM/frm_BienvenidoSIAC.aspx;INGRESA;SI;SI
PP019;326701;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
PP007;326651;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
MA047;327251;ASOC;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;SI;SI
EP002;1091;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
EP024;1116;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
EP011;1099;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
EP006;1095;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
AD009;837;AB000;Region Metropolitana de Santiago;SANTIAGO;http://transparenciaw.carabineros.cl/registro1.php;NO INGRESA;SI;SI
MA001;58950;ASOC;Region Metropolitana de Santiago;SANTIAGO;http://www.amur.cl/;NO INGRESA;SI;SI
EP008;1104;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
AD018;985;AD000;Region Metropolitana de Santiago;SANTIAGO;http://www.fach.cl/gob_transp/solicitud_informacion/solicitud_informacion.html;NO INGRESA;SI;NO
AJ007;848;AJ000;Region Metropolitana de Santiago;SANTIAGO;https://crm.ayudamineduc.cl/Consultas/LeyTransparencia;NO INGRESA;SI;NO
AH014;984;AH000;Region Metropolitana de Santiago;SANTIAGO;http://transparencia.economia.cl/tdpi/;NO INGRESA;SI;NO
EP023;1115;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
EP003;1092;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
AE006;990;AE000;Region Metropolitana de Santiago;SANTIAGO;http://www.sii.cl/estadisticas/pagina_previa.htm;NO INGRESA;SI;SI
EP005;1094;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
EP009;1097;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
EP004;1093;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
AB006;760;NRSVL;Region Metropolitana de Santiago;SANTIAGO;https://contacto.servel.cl/public/index.html#/solicitud-transparencia;NO INGRESA;SI;NO
AD019;986;AD000;Region Metropolitana de Santiago;SANTIAGO;http://transparencia.armada.cl/transparencia_activa/IG10/solicitud_informacion.html;NO INGRESA;SI;NO
EP007;1096;EP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;NO
FU003;56050;FU000;Region Metropolitana de Santiago;SANTIAGO;http://www.prodemu.cl/transparencia/sitio-transparencia/solicitud_informacion.html;NO INGRESA;SI;NO
AJ011;58650;AJ000;Region Metropolitana de Santiago;SANTIAGO;http://gobta.supereduc.cl/solicitud_informacion.html;INGRESA;SI;SI
AE012;994;AE000;Region Metropolitana de Santiago;SANTIAGO;http://scj.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AL003;1028;AL000;Region Metropolitana de Santiago;SANTIAGO;http://app-web.dirtrab.cl:8083/frm_IngresoTransparencia.aspx;INGRESA;SI;SI
AI003;1008;AI000;Region Metropolitana de Santiago;SANTIAGO;http://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdto;INGRESA;SI;SI
AL002;859;AL000;Region Metropolitana de Santiago;SANTIAGO;http://www.previsionsocial.gob.cl/transparenciaactiva/solicitudes/solicitud_info_ley_transparencia.html;INGRESA;SI;SI
AI010;331200;AI000;Region Metropolitana de Santiago;SANTIAGO;http://www.mejorninez.cl;INGRESA;SI;SI
AL001;1027;AL000;Region Metropolitana de Santiago;SANTIAGO;http://www.mintrab.gob.cl/transparencia/subtrab.html;INGRESA;SI;SI
AB001;758;AB000;Region Metropolitana de Santiago;SANTIAGO;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;SI
AM014;328150;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AU001;1067;AU000;Region Metropolitana de Santiago;SANTIAGO;http://cne.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AE009;992;AE000;Region Metropolitana de Santiago;SANTIAGO;http://archives.cplt.cl/transparencia_activa/paginacontingenciaportal/or/portalconti_corfo_cmf.html;INGRESA;SI;SI
AO004;1051;AO000;Region Metropolitana de Santiago;SANTIAGO;http://fonasa.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
MU308;395;MU000;Region Metropolitana de Santiago;SANTIAGO;http://intranet.munistgo.cl/integridad/web2/pages/frm_solicitud_informacion.php;INGRESA;SI;SI
AC001;973;AC000;Region Metropolitana de Santiago;SANTIAGO;http://www.minrel.gob.cl/transparencia/paginas/solicitud_informacion.html;INGRESA;SI;SI
AW003;1070;AW000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1070;INGRESA;SI;SI
AR004;1060;AR000;Region Metropolitana de Santiago;SANTIAGO;http://siac.indap.cl/virtual/InicioConsTran.asp;INGRESA;SI;SI
NR009;331350;NRCCO;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
BC002;329351;BC000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=BC002;INGRESA;SI;SI
AP001;1057;AP000;Region Metropolitana de Santiago;SANTIAGO;http://www.minvu.cl/transparencia/paginas/solicitud_informacion.html;INGRESA;SI;SI
AD007;836;AD000;Region Metropolitana de Santiago;SANTIAGO;http://www.transparencia-armada.cl/transparencia_activa/IG10/solicitud_informacion.html;INGRESA;SI;SI
UN009;1089;UN000;Region Metropolitana de Santiago;SANTIAGO;http://transparencia.utem.cl/sgs/index.php;INGRESA;SI;NO
AC007;330051;AC000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=AC007;INGRESA;SI;SI
CM066;6641;CM000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;SI;NO
AI004;1009;AI000;Region Metropolitana de Santiago;SANTIAGO;http://epsilon.fosis.cl/transparenciaactiva/solicitudinfoley.htm;INGRESA;SI;SI
UN008;1086;UN000;Region Metropolitana de Santiago;SANTIAGO;https://www.transparenciaactiva.usach.cl/solicitud-de-acceso-la-informacion-publica-0;INGRESA;SI;SI
AI008;55952;AI000;Region Metropolitana de Santiago;SANTIAGO;http://sgs.ministeriodesarrollosocial.gob.cl/;INGRESA;SI;SI
AN002;1047;AN000;Region Metropolitana de Santiago;SANTIAGO;http://sgs.subtel.cl/;INGRESA;SI;SI
CM088;6663;CM000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;SI;NO
CM093;6668;CM000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;SI;NO
AO071;849;AO000;Region Metropolitana de Santiago;SANTIAGO;http://webhosting.redsalud.gov.cl/transparencia/public/AO071/solicitud_informacion.html;INGRESA;SI;SI
AP025;331456;AP000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1057;INGRESA;SI;SI
AD016;983;AB000;Region Metropolitana de Santiago;SANTIAGO;http://;INGRESA;SI;SI
AM013;862;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AY001;1073;AH000;Region Metropolitana de Santiago;SANTIAGO;http://inapi.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AM005;861;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AA001;757;AA000;Region Metropolitana de Santiago;SANTIAGO;http://transparenciaactiva.presidencia.cl/;INGRESA;SI;SI
CM140;6715;CM000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;SI;NO
CM149;6724;CM000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;SI;NO
AL009;1034;AL000;Region Metropolitana de Santiago;SANTIAGO;http://info.suseso.cl/PortalWEB/GTransparente/transparencia/solicitud_transparencia.html?openform;INGRESA;SI;SI
AO006;1053;AO000;Region Metropolitana de Santiago;SANTIAGO;http://webserver.superdesalud.gob.cl/bases/LeydeTransparencia.nsf/Caso?OpenForm;INGRESA;SI;SI
NR007;56650;NRTRC;Region Metropolitana de Santiago;SANTIAGO;http://www.tribunalconstitucional.cl/;INGRESA;SI;NO
AO075;853;AO000;Region Metropolitana de Santiago;SANTIAGO;http://www.hsjd.cl//ley%20transparencia/IntruccionNro10/solicitud_informacion.html;INGRESA;SI;SI
AM002;1037;AM000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1037;INGRESA;SI;SI
AM003;1038;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
FU005;56100;FU000;Region Metropolitana de Santiago;SANTIAGO;http://www.portaltransparencia.cl/PortalPdT/web/guest/home;INGRESA;SI;SI
EP025;1101;EP000;Region Metropolitana de Santiago;SANTIAGO;http://www.sepchile.cl/formulario-transparencia/;INGRESA;SI;SI
CM276;6851;CM000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;SI;NO
AM009;1042;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AL007;1032;AL000;Region Metropolitana de Santiago;SANTIAGO;http://buzonciudadano.sence.cl/;INGRESA;SI;SI
AR005;1061;AR000;Region Metropolitana de Santiago;SANTIAGO;http://www.odepa.gob.cl/transparencia/;INGRESA;SI;SI
AB021;775;AB000;Region Metropolitana de Santiago;SANTIAGO;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
AH007;1003;AH000;Region Metropolitana de Santiago;SANTIAGO;http://ine.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AC004;976;AC000;Region Metropolitana de Santiago;SANTIAGO;http://agci.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AJ008;1016;BD000;Region Metropolitana de Santiago;SANTIAGO;http://sgs.conicyt.cl/;INGRESA;SI;SI
AJ012;58880;AJ000;Region Metropolitana de Santiago;SANTIAGO;http://gobiernotransparente.agce.cl/formulario_transparencia_pasiva.html;INGRESA;SI;SI
AL004;1029;AL000;Region Metropolitana de Santiago;SANTIAGO;http://siac.dicrep.cl/;INGRESA;SI;SI
AM008;1041;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AM012;1045;AM012;Region Metropolitana de Santiago;SANTIAGO;http://www.inh.cl/home/solicitudes;INGRESA;SI;SI
AE011;993;AE000;Region Metropolitana de Santiago;SANTIAGO;http://www.chilecompra.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AF001;995;AF000;Region Metropolitana de Santiago;SANTIAGO;http://minsegpres.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
NR008;331351;NRMPU;Region Metropolitana de Santiago;SANTIAGO;https://agenda.minpublico.cl/app/fiscalia-en-linea/#/ingreso-lt-nl;NO INGRESA;SI;NO
AS001;959;AS000;Region Metropolitana de Santiago;SANTIAGO;http://transparencia.minmineria.cl/Transparencia/solictitud_de_informacion.html;INGRESA;SI;SI
AK004;1021;AK000;Region Metropolitana de Santiago;SANTIAGO;http://sename.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AB091;59050;AB000;Region Metropolitana de Santiago;SANTIAGO;https://siac.interior.gob.cl/formulario.gov?accion=ingresa;INGRESA;SI;SI
AM011;1044;AM000;Region Metropolitana de Santiago;SANTIAGO;http://www.siss.gob.cl/transparencia0/sol_info/solicitud_informacion.html;INGRESA;SI;SI
AB092;58450;AB000;Region Metropolitana de Santiago;SANTIAGO;http://senda.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
BB001;326450;BB000;Region Metropolitana de Santiago;SANTIAGO;http://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=BB001;INGRESA;SI;SI
AI006;1011;AI000;Region Metropolitana de Santiago;SANTIAGO;http://senama.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AH012;58300;AH000;Region Metropolitana de Santiago;SANTIAGO;http://sercotec.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AB004;963;AB000;Region Metropolitana de Santiago;SANTIAGO;https://siac.onemi.gov.cl;INGRESA;SI;SI
AE004;840;AE000;Region Metropolitana de Santiago;SANTIAGO;http://www.serviciocivil.gob.cl/gestion-solicitudes/;INGRESA;SI;SI
AE002;988;AE000;Region Metropolitana de Santiago;SANTIAGO;http://dipres.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AU003;1064;AU000;Region Metropolitana de Santiago;SANTIAGO;http://www.cchen.cl/transparencia/transparencia_2015/solicitud_informacion.html;INGRESA;SI;SI
AH013;858;AH000;Region Metropolitana de Santiago;SANTIAGO;http://superir.transparencia.cl/;INGRESA;SI;SI
AB002;961;AB000;Region Metropolitana de Santiago;SANTIAGO;http://www.subdere.gov.cl/transparencia/ley20285/solicitud_informacion.html;INGRESA;SI;SI
AE005;841;AE000;Region Metropolitana de Santiago;SANTIAGO;http://www.uaf.cl/contactenos/solicitud.aspx;INGRESA;SI;SI
AJ002;847;AJ000;Region Metropolitana de Santiago;SANTIAGO;http://www.consejoderectores.cl/gobierno_transparente/index_participacion_ciudadana.html;INGRESA;SI;SI
FU006;56200;FU000;Region Metropolitana de Santiago;SANTIAGO;http://transparencia.fundaciondelafamilia.cl/activa/solicitud_informacion.html;INGRESA;SI;NO
AO069;1019;AO000;Region Metropolitana de Santiago;SANTIAGO;http://webhosting.redsalud.gov.cl/transparencia/public/AO069/solicitud_informacion.html;INGRESA;SI;SI
AJ018;328950;AJ000;Region Metropolitana de Santiago;SANTIAGO;http://portales.mineduc.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AX001;1072;AX000;Region Metropolitana de Santiago;SANTIAGO;http://www.cde.cl/transparencia/;INGRESA;SI;SI
FU001;55900;FU000;Region Metropolitana de Santiago;SANTIAGO;http://integra.transparencia.cl;INGRESA;SI;SI
AN003;1048;AN000;Region Metropolitana de Santiago;SANTIAGO;http://sgs.mtt.gob.cl/;INGRESA;SI;SI
AM004;860;AM000;Region Metropolitana de Santiago;SANTIAGO;https://siac.mop.gob.cl/;INGRESA;SI;SI
AS002;1063;AS000;Region Metropolitana de Santiago;SANTIAGO;http://cochilco.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AD023;55950;AD000;Region Metropolitana de Santiago;SANTIAGO;http://www.emco.mil.cl/transparencia/sit.html;INGRESA;SI;SI
AL010;1035;AL000;Region Metropolitana de Santiago;SANTIAGO;http://www.chilevalora.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AO107;937;AO000;Region Metropolitana de Santiago;SANTIAGO;http://www.localnet.cl/intraumatologico/files/Gobierno%20Transparente/Banner%20Html/solicitud_informacion.html;INGRESA;SI;SI
AI005;1010;AI000;Region Metropolitana de Santiago;SANTIAGO;http://extranet.injuv.gob.cl/institucional/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AO009;866;AO000;Region Metropolitana de Santiago;SANTIAGO;http://webhosting.redsalud.gov.cl/transparencia/public/ssmetrooccidente/solicitud_informacion%20(3).html;INGRESA;SI;SI
AK008;1023;AK000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1023;INGRESA;SI;SI
AH003;844;AH000;Region Metropolitana de Santiago;SANTIAGO;http://cie.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AR001;958;AR000;Region Metropolitana de Santiago;SANTIAGO;https://solicitudes.minagri.gob.cl/;INGRESA;SI;SI
AB003;962;AB000;Region Metropolitana de Santiago;SANTIAGO;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;SI
AO007;864;AO000;Region Metropolitana de Santiago;SANTIAGO;http://webhosting.redsalud.gov.cl/transparencia/public/ssmetrocentral/solicitud_informacion.html;INGRESA;SI;SI
AD008;978;AD000;Region Metropolitana de Santiago;CERRILLOS;http://www.fach.cl/gob_transp/solicitud_informacion/solicitud_informacion.html;INGRESA;SI;SI
MU034;121;MU000;Region Metropolitana de Santiago;CERRILLOS;http://www.mcerrillos.cl/transparencia/archivo.aspx?RootFolder=/transparencia/documentos/Formulario%20de%20Transparencia;INGRESA;SI;SI
CM160;6735;CM000;Region Metropolitana de Santiago;CERRO NAVIA;https://cerronaviadeportes.cl/;NO INGRESA;SI;SI
CM022;58800;CM000;Region Metropolitana de Santiago;CERRO NAVIA;http://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_ pdtorganismosportlet&orgcode=8dd684985e6f1d655415166f48608f2e &gclid=CIyxvpbElsgCFUMIkQod1M8FXQ;INGRESA;SI;SI
MU035;122;MU000;Region Metropolitana de Santiago;CERRO NAVIA;http://www.portaltransparencia.cl/;INGRESA;SI;SI
CM164;6739;CM000;Region Metropolitana de Santiago;CONCHALI;http://;NO INGRESA;SI;NO
MU062;512;MU000;Region Metropolitana de Santiago;CONCHALI;http://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrgTa=MU062;INGRESA;SI;SI
MU082;530;MU000;Region Metropolitana de Santiago;EL BOSQUE;http://transparencia.imelbosque.com/contacto.php;INGRESA;SI;SI
CM119;6694;CM000;Region Metropolitana de Santiago;ESTACION CENTRAL;http://;NO INGRESA;SI;SI
CM069;6644;CM000;Region Metropolitana de Santiago;ESTACION CENTRAL;http://;NO INGRESA;SI;SI
CM219;6794;CM000;Region Metropolitana de Santiago;ESTACION CENTRAL;http://;NO INGRESA;SI;SI
MU089;536;MU000;Region Metropolitana de Santiago;ESTACION CENTRAL;http://www.estacioncentral.cl/transparencia/transparencia_solicitud.html;INGRESA;SI;SI
MU109;555;MU000;Region Metropolitana de Santiago;HUECHURUBA;http://transparencia.huechuraba.cl/formulario/formulario.asp;INGRESA;SI;SI
AK003;1020;AK000;Region Metropolitana de Santiago;INDEPENDENCIA;http://www.sml.cl/siac/acceso_ley2.php;INGRESA;SI;SI
CM115;6690;CM000;Region Metropolitana de Santiago;INDEPENDENCIA;http://;INGRESA;SI;SI
MA041;329309;ASOC;Region Metropolitana de Santiago;INDEPENDENCIA;http://;NO INGRESA;SI;NO
CM207;6782;CM000;Region Metropolitana de Santiago;INDEPENDENCIA;http://;NO INGRESA;SI;SI
CM125;6700;CM000;Region Metropolitana de Santiago;INDEPENDENCIA;http://;NO INGRESA;SI;NO
